sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,36,,良好,1,0.39,17,33,4,6,15,16.2,0.9,0.3,83,"2026/03/05 20:00:00",0.2,5.9,10,0,121.760056,25.129167,1
汐止,新北市,52,二氧化氮,普通,1.1,0.34,8,23,14,9,23,27.4,3.9,1.1,33,"2026/03/05 20:00:00",0.2,7.6,14,1,121.64081,25.06624,2
新店,新北市,38,,良好,0.9,0.34,21,25,23,7,16,18.5,2,1.5,124,"2026/03/05 20:00:00",0.3,7.2,14,0,121.537778,24.977222,4
土城,新北市,57,二氧化氮,普通,0.8,0.74,3,21,18,7,32,38.9,6.3,0.2,312,"2026/03/05 20:00:00",0.4,6.2,16,0,121.451861,24.982528,5
板橋,新北市,57,二氧化氮,普通,0.8,0.71,8,18,18,12,32,36.4,4,0.7,26,"2026/03/05 20:00:00",0.4,10.5,14,0,121.458667,25.012972,6
新莊,新北市,52,二氧化氮,普通,0.6,0.5,18,30,19,4,23,24.4,1,1.3,88,"2026/03/05 20:00:00",0.3,6,19,0,121.4325,25.037972,7
菜寮,新北市,53,二氧化氮,普通,0.3,0.5,18,29,15,7,25,26.9,1.5,1.3,88,"2026/03/05 20:00:00",0.3,5.7,12,0,121.481028,25.06895,8
林口,新北市,43,,良好,1.2,0.4,21,28,12,6,18,20.4,1.8,2.5,119,"2026/03/05 20:00:00",0.2,5.6,15,0,121.36548982,25.07798949,9
淡水,新北市,38,,良好,1.1,0.41,15,31,14,8,16,18.5,1.7,,,"2026/03/05 20:00:00",0.2,5.8,10,0,121.449239,25.1645,10
士林,臺北市,31,,良好,0.1,0.27,29,33,8,7,12,13,0.9,0.6,14,"2026/03/05 20:00:00",0.2,5.2,15,0,121.51666356,25.10334003,11
中山,臺北市,55,二氧化氮,普通,0.9,0.54,10,21,16,14,28,32.3,4.3,2,109,"2026/03/05 20:00:00",0.4,10.2,17,0,121.526528,25.062361,12
萬華,臺北市,54,二氧化氮,普通,1.3,0.44,12,21,14,10,27,32,4.5,1.6,96,"2026/03/05 20:00:00",0.3,8.6,14,1,121.507972,25.046503,13
古亭,臺北市,40,,良好,0.9,0.31,22,24,10,5,17,19.4,1.5,1,71,"2026/03/05 20:00:00",0.3,6.4,19,0,121.529556,25.020608,14
松山,臺北市,56,二氧化氮,普通,1.9,0.46,2,21,12,9,30,40.8,10.1,1.2,46,"2026/03/05 20:00:00",0.2,9,14,1,121.578611,25.05,15
