序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,_lon,_lat,是否在鄉鎮內,所在鄉鎮
11,連江縣莒光鄉,福正村,1號,119.985351,25.961848,福正風景管理處,福正村,0,,曹鳳金,0836-89338,否,否,否,119.985351,25.961848,False,未知
13,連江縣莒光鄉,田沃村,52號,119.944922,25.972438,田沃老人活動中心,田沃村,0,,曹以樹,0836-89146,否,否,否,119.944922,25.972438,False,未知
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是,121.051297,26.0,False,未知
28,臺東縣臺東市,,營區位置恕不敘明,119.752122,27.0,空軍第737戰術戰鬥機聯隊,臺東縣異地收容,329,,王詳閩少校,089-223911-872103,否,否,否,119.752122,27.0,False,未知
33,桃園市新屋區,後庄里,東福路二段515號,121.011554,26.870923,後庄社區活動中心,後庄里,50,"水災,震災",江紘,4778168,是,否,是,121.011554,26.870923,False,未知
34,桃園市新屋區,望間里,4鄰十五間25號,121.065984,26.87753,望間社區活動中心,望間里,50,"水災,震災",江紘,4778168,是,否,是,121.065984,26.87753,False,未知
35,桃園市新屋區,社子里,7鄰3之1號,121.085281,26.886062,社子社區活動中心,社子里,50,水災,江紘,4778168,是,否,是,121.085281,26.886062,False,未知
36,桃園市新屋區,頭洲里,校前路48號,121.130215,26.888575,頭洲社區活動中心,頭洲里,50,"水災,震災",江紘,4778168,是,否,是,121.130215,26.888575,False,未知
37,桃園市新屋區,深圳里,4鄰20之5號,121.007673,26.890879,深圳社區活動中心,深圳里,50,"水災,震災",江紘,4778168,是,否,是,121.007673,26.890879,False,未知
38,桃園市新屋區,東明里,3鄰5號,121.078766,26.894742,東明社區活動中心,東明里,50,"水災,震災",江紘,4778168,是,否,是,121.078766,26.894742,False,未知
39,桃園市新屋區,九斗里,長祥路1098號,121.117328,26.896771,九斗社區活動中心,九斗里,50,"水災,震災",江紘,4778168,是,否,是,121.117328,26.896771,False,未知
40,桃園市新屋區,?榔里,8鄰9號,121.06181,26.898658,?榔社區活動中心,?榔里,50,"水災,震災",江紘,4778168,是,否,是,121.06181,26.898658,False,未知
41,桃園市新屋區,下田里,4鄰中山西路2段780號,121.054326,26.908939,下田社區活動中心,下田里,50,"水災,震災",江紘,4778168,是,否,是,121.054326,26.908939,False,未知
42,桃園市新屋區,永安里,13鄰保生路55號,121.02689,26.915734,永安社區活動中心,永安里,50,"水災,震災",江紘,4778168,是,否,是,121.02689,26.915734,False,未知
43,桃園市新屋區,石磊里,三民路二段276號,121.079829,26.921813,石磊社區活動中心,石磊里,50,"水災,震災",江紘,4778168,是,否,是,121.079829,26.921813,False,未知
44,桃園市新屋區,永興里,永慶一路273號,121.031521,26.92647,永興社區活動中心,永興里,50,"水災,震災",江紘,4778168,是,否,是,121.031521,26.92647,False,未知
78,臺東縣金峰鄉,正興村,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",120.237198,21.201237,介達國小 Jieda Elementary School,正興村,100,,田桂香,089-781583,是,否,否,120.237198,21.201237,False,未知
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是,121.0376,21.9002,False,未知
89,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,舊蘭嶼國小,紅頭村,100,"水災,土石流,海嘯",周孋珠,（089）731633,是,否,否,121.5546,22.0211,False,未知
94,臺東縣蘭嶼鄉,紅頭村,1號 之1,121.5266,22.0302,蘭嶼國民小學,蘭嶼國小附近住戶,100,"水災,震災,土石流,海嘯",許淑貞,（089）731576,是,否,是,121.5266,22.0302,False,未知
133,臺東縣卑南鄉,東興村,東興村東園一街40號,121.016385,22.301654,大南國民小學,東興村,50,,李玉如,089-382402,否,否,否,121.016385,22.301654,False,未知
160,屏東縣屏東市,永安里,建興南路35號,120.2857,22.3931,屏東市復興公園,永安里,1067,,黃祥生,7560101#502,否,是,否,120.2857,22.3931,False,未知
161,屏東縣屏東市,崇武里,建國路25號,120.2912,22.3948,國立屏東高級工業職業學校,永安里2,2523,"水災,震災",張明誌,08-7523781#200,是,是,否,120.2912,22.3948,False,未知
163,屏東縣屏東市,豐榮里,自由、大連、廣東、勝利東路廓內,120.2952,22.4044,屏東市千禧公園,豐榮里,1734,"水災,震災",蔡育霖,7560101#503,否,是,否,120.2952,22.4044,False,未知
166,屏東縣屏東市,廣興里,監理站對面,120.2915,22.413,屏東市廣興公園,廣興里,755,"水災,震災",蔡育霖,7560101#503,否,是,否,120.2915,22.413,False,未知
245,高雄市小港區,濟南里,飛機路153號,118.569662,22.555905,高雄市小港區青山國民小學,山東、濟南、青島,300,"水災,震災,海嘯",鍾享龍,8014543＊110,否,否,否,118.569662,22.555905,False,未知
551,臺東縣綠島鄉,公?村,公?5鄰1號,121.4807,22.6777,公館社區活動中心,公館村,30,"水災,震災,土石流",鄭志雄,089-672517,是,否,是,121.4807,22.6777,False,未知
605,高雄市大樹區,姑山里,姑山路1號,119.464848,22.702543,高雄市大樹區姑山國民小學,檨腳里、姑山里,239,"水災,震災,土石流,海嘯",李家賢,07-6561349轉30,否,否,否,119.464848,22.702543,False,未知
693,高雄市彌陀區,漯底里,樂安路1號,0.0,22.764013,高雄市彌陀區南安國民小學（備用）,全區調度配合,100,"水災,震災,海嘯",鍾姮潔,07-6191810#40,是,否,是,0.0,22.764013,False,未知
792,高雄市美濃區,吉洋里,南中街3號,0.0,22.866835,高雄市立南隆國民中學,清水里,2541,"水災,震災,土石流,海嘯",南隆國中,07-6831153,否,否,否,0.0,22.866835,False,未知
810,高雄市旗山區,東平里,樹人路21號,0.0,22.8845,國立旗美高級中學（備用）,東平里、東昌里、廣福里,100,"水災,震災",庶務組組長唐瑞明,6612502＃510,是,否,是,0.0,22.8845,False,未知
1022,彰化縣芬園鄉,圳墘村,彰南路二段36號,120.0,23.0,寶山國小,縣庄村 溪頭村 圳墘村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,否,否,否,120.0,23.0,False,未知
1023,彰化縣芬園鄉,中崙村,大彰路二段100巷36號,120.0,23.0,同安國小,同安村 中崙村 大竹村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,是,否,是,120.0,23.0,False,未知
3022,南投縣國姓鄉,北山村,中正路4段112號,117.874241,23.982156,北山社區活動中心,北山村,50,"水災,震災,土石流,海嘯",劉煥鋒村長,0921-786113,是,否,是,117.874241,23.982156,False,未知
3082,屏東縣滿州鄉,里德村,山頂路57號隔壁,118.0,24.0,里德社區活動中心,里德村,60,"水災,土石流,海嘯",宋仁宗,08-8801358,是,否,是,118.0,24.0,False,未知
3246,臺中市大肚區,社腳里,沙田路一段364號,120.34069,24.07197,追分國小多功能教室,該收容處所亦有附屬空地可供使用﹝面積6974平方公尺﹞,100,"水災,土石流,海嘯",賴如足,04-26932604,是,否,是,120.34069,24.07197,False,未知
3413,臺中市東區,泉源里,樂業路60號,120.194202,24.138354,臺中市東區樂業國小,泉源、旱溪、樂成.,450,"水災,震災",張添琦,04-22121293,是,是,否,120.194202,24.138354,False,未知
3735,臺中市石岡區,土牛里,石岡區土牛里德成巷1之2號,120.0892,24.2655,土牛活動中心,土牛,40,"水災,震災",黃三榮,04-25818635,是,否,是,120.0892,24.2655,False,未知
3752,金門縣金沙鎮,大洋里,大洋里東山22號,118.271,24.274,金沙鎮大洋里辦公處,金門縣金沙鎮大洋里,30,"水災,震災,土石流",吳有泰,082-335089,是,否,否,118.271,24.274,False,未知
3761,臺中市霧峰區,峰谷里,峰谷路496號,120.4318,24.279,峰谷國小南棟教室,峰谷,900,"水災,震災,土石流",陳世穎-洪英恆,04-23399271,是,是,是,120.4318,24.279,False,未知
3762,金門縣金沙鎮,何斗里,何斗里斗門55-3號,118.24,24.282,金沙鎮何斗里辦公處,金門縣金沙鎮何斗里,80,"水災,震災,土石流,海嘯",陳金德,082-351872,是,否,否,118.24,24.282,False,未知
3763,金門縣金沙鎮,三山里,三山里碧山58-1號,118.245,24.282,金沙鎮三山里辦公處,金門縣金沙鎮三山里,30,"水災,震災,土石流",陳賜發,082-351840,是,否,否,118.245,24.282,False,未知
3764,金門縣金沙鎮,浦山里,浦山里浦邊4-3號,118.232,24.284,金沙鎮浦山里辦公處,金門縣金沙鎮浦山里,30,"水災,震災,土石流",周家才,082-352848,是,否,否,118.232,24.284,False,未知
3765,金門縣金沙鎮,光前里,光前里陽翟96-5號,118.253,24.284,金沙鎮光前里辦公處,金門縣金沙鎮光前里,80,"水災,震災,土石流",翁麗治,082-353833,是,否,否,118.253,24.284,False,未知
3769,金門縣金沙鎮,汶沙里,汶沙里國中路1-1號,118.245,24.291,金沙鎮汶沙里辦公處,金門縣金沙鎮汶沙里,30,"水災,震災,土石流",張瀚龍,082-352556,是,否,否,118.245,24.291,False,未知
3779,金門縣金沙鎮,西園里,西園里西園1-3號,118.242,24.303,金沙鎮西園里辦公處,金門縣金沙鎮西園里,30,"水災,震災,土石流",黃木林,082-354628,否,否,否,118.242,24.303,False,未知
3794,金門縣金沙鎮,官嶼里,官嶼里官澳82-2號,118.245,24.311,金沙鎮官嶼里辦公處,金門縣金沙鎮官嶼里,30,"水災,震災,土石流",楊恭勤,082-351715,是,否,否,118.245,24.311,False,未知
4151,南投縣草屯鎮,新豐里,番子田路100號,120.000836,24.676621,新豐社區活動中心,新豐里,80,"水災,震災",林資湖理事長,049-2362158,是,否,否,120.000836,24.676621,False,未知
4265,新竹縣竹東鎮,仁愛里,大同路257號,121.891,24.7328,中山社區活動中心,雞林里、中山里,93,"水災,土石流,海嘯",何佳紋,03-5966177＃206,是,否,是,121.891,24.7328,False,未知
4532,新竹縣新豐鄉,松林村,康樂路一段516號,120.5854,24.8756,松林社區活動中心,松林村松柏村,60,"水災,震災,土石流",徐茂淦,35597912,是,否,是,120.5854,24.8756,False,未知
4620,臺中市霧峰區,北柳里,霧峰區北柳里國中路110號,120.4141,24.917,霧峰國中行政大樓地下室,北柳,175,"水災,震災,土石流",郭志強--林芝萍,04-23393175#230,是,是,是,120.4141,24.917,False,未知
4621,臺中市霧峰區,本堂里,中正路736號,120.41411,24.917,霧峰國小志文樓地下室,本堂、中正,800,"水災,震災",吳佳容,04-23393069#731,是,是,是,120.41411,24.917,False,未知
4622,臺中市霧峰區,北柳里,國中路110號,120.41411,24.917,霧峰國中行政大樓地下室,北柳,1381,"震災,土石流",謝龍卿-葉美蕙,04-23393175#230,是,是,是,120.41411,24.917,False,未知
5030,彰化縣彰化市,忠孝里,辭修路200號,120.0,25.0,忠孝國小,西勢里萬壽里長樂里忠孝里忠權里五權里西興里,703,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,120.0,25.0,False,未知
5031,臺北市士林區,蘭雅里,中山北路六段392號,121.0,25.0,士東國小,蘭雅里,63,,吳志豪,02-28710064,否,否,否,121.0,25.0,False,未知
5945,嘉義縣竹崎鄉,義仁村,義仁村7鄰坪頂14-1號,120.5472,25.5234,義仁社區活動中心,義仁村,30,土石流,翁國卿,05-2110551,是,否,否,120.5472,25.5234,False,未知
5946,宜蘭縣礁溪鄉,六結村,中山路二段3號,117.8236,25.7717,礁溪鄉公所二樓,六結村,38,"水災,震災,土石流,海嘯",林玫瑩,03-9881311-112,是,否,是,117.8236,25.7717,False,未知
5947,連江縣南竿鄉,仁愛村,95號,119.9311,26.1409,仁愛國小教室,仁愛村,0,"水災,震災,土石流",曹正偉,912547147,是,否,是,119.9311,26.1409,False,未知
5966,桃園市新屋區,蚵間里,2鄰14號,121.004719,26.871407,蚵間社區活動中心,蚵間里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,121.004719,26.871407,False,未知
5967,桃園市新屋區,埔頂里,2鄰34號,121.105768,26.876735,埔頂社區活動中心,埔頂里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,121.105768,26.876735,False,未知
5968,桃園市新屋區,大坡里,5鄰三角堀5號,121.029795,26.882838,大坡社區活動中心,大坡里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,121.029795,26.882838,False,未知
5969,桃園市新屋區,新生里,中山路370號,121.095164,26.898771,新屋區婦幼館,新生里等,100,"水災,震災",蕭秀卿,03-4778168,是,否,是,121.095164,26.898771,False,未知
5970,桃園市新屋區,笨港里,2鄰榕樹下10之1號,121.024039,26.900275,笨港社區活動中心,笨港里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,121.024039,26.900275,False,未知
5971,桃園市新屋區,赤欄里,8鄰中山西路2段280號,121.064953,26.905677,赤欄社區活動中心,赤欄里,50,"水災,震災,土石流,海嘯",江紘,4778168,是,否,是,121.064953,26.905677,False,未知
