site_name,county,aqi,status,distance_to_taipei,latitude,longitude,pollutant,pm25,pm10,o3,no2,so2,co,wind_speed,wind_direction,publish_time
基隆,基隆市,74,普通,26.1,25.129167,121.760056,懸浮微粒,13,31,27,8,0.3,0.21,0.8,94,2026/2/24 23:00
汐止,新北市,79,普通,12.64,25.06624,121.64081,細懸浮微粒,24,51,23,14,1.4,0.21,1.6,58,2026/2/24 23:00
新店,新北市,71,普通,8.12,24.977222,121.537778,細懸浮微粒,19,41,0,23,1.2,0.5,1.1,96,2026/2/24 23:00
土城,新北市,75,普通,9.79,24.982528,121.451861,細懸浮微粒,21,38,26,14,0.7,0.33,1.7,340,2026/2/24 23:00
板橋,新北市,84,普通,7.04,25.012972,121.458667,細懸浮微粒,19,38,23,15,0.6,0.33,1.6,356,2026/2/24 23:00
新莊,新北市,80,普通,8.58,25.037972,121.4325,細懸浮微粒,18,41,28,9,0.1,0.2,1.5,14,2026/2/24 23:00
菜寮,新北市,76,普通,4.32,25.06895,121.481028,懸浮微粒,16,36,26,12,0.2,0.27,1.1,25,2026/2/24 23:00
林口,新北市,64,普通,15.63,25.07798949,121.3654898,懸浮微粒,15,33,24,7,1.1,0.19,1.4,49,2026/2/24 23:00
淡水,新北市,80,普通,14.66,25.1645,121.449239,懸浮微粒,13,31,24,8,0.4,0.22,,,2026/2/24 23:00
士林,臺北市,74,普通,6.18,25.10334003,121.5166636,懸浮微粒,19,50,18,13,0.4,0.28,0.8,153,2026/2/24 23:00
中山,臺北市,82,普通,1.88,25.062361,121.526528,細懸浮微粒,24,55,9,24,3.8,0.47,1.2,100,2026/2/24 23:00
萬華,臺北市,77,普通,0.92,25.046503,121.507972,懸浮微粒,20,48,12,22,1.4,0.43,1.7,85,2026/2/24 23:00
古亭,臺北市,82,普通,3.28,25.020608,121.529556,細懸浮微粒,27,63,8,28,1.8,0.42,0.8,41,2026/2/24 23:00
松山,臺北市,83,普通,6.21,25.05,121.578611,細懸浮微粒,20,63,17,18,2.9,0.27,1.5,40,2026/2/24 23:00
大同,臺北市,87,普通,1.76,25.06331455,121.5134207,細懸浮微粒,30,47,7,28,3.6,0.56,-,-,2026/2/24 23:00
桃園,桃園市,80,普通,22.16,24.9947107,121.3050053,細懸浮微粒,15,35,27,10,0.4,0.27,1.1,24,2026/2/24 23:00
大園,桃園市,78,普通,31.71,25.06100357,121.2025147,懸浮微粒,12,36,24,12,1.1,0.19,2,26,2026/2/24 23:00
觀音,桃園市,67,普通,43.76,25.03556747,121.0828309,細懸浮微粒,11,15,30,5,0.4,0.16,0.7,69,2026/2/24 23:00
平鎮,桃園市,83,普通,33.27,24.952786,121.203986,懸浮微粒,20,48,9,28,0.3,0.28,0.4,22,2026/2/24 23:00
龍潭,桃園市,90,普通,36.55,24.86400048,121.2164577,細懸浮微粒,24,46,10,21,0.9,0.28,1.2,26,2026/2/24 23:00
湖口,新竹縣,74,普通,50.92,24.90009696,121.0388689,懸浮微粒,14,42,22,11,0.4,0.24,1.6,55,2026/2/24 23:00
竹東,新竹縣,80,普通,55.03,24.74091408,121.0889549,細懸浮微粒,21,41,20,11,1,0.23,1.1,290,2026/2/24 23:00
新竹,新竹市,73,普通,61.17,24.8056356,120.9723675,懸浮微粒,18,38,25,11,1.7,0.26,1,39,2026/2/24 23:00
頭份,苗栗縣,81,普通,73.57,24.69690679,120.8986929,懸浮微粒,11,31,25,9,1.3,0.22,1.3,72,2026/2/24 23:00
苗栗,苗栗縣,77,普通,88.49,24.56499183,120.8201147,細懸浮微粒,23,42,20,11,1,0.22,1.6,20,2026/2/24 23:00
三義,苗栗縣,63,普通,106.43,24.38248443,120.7595675,懸浮微粒,19,37,27,6,1.1,0.18,2.9,15,2026/2/24 23:00
豐原,臺中市,70,普通,117.72,24.25699731,120.7425241,細懸浮微粒,18,39,22,9,1.3,0.22,1.7,73,2026/2/24 23:00
沙鹿,臺中市,73,普通,132.45,24.225628,120.568794,細懸浮微粒,20,37,30,5,0.5,0.18,1.9,337,2026/2/24 23:00
大里,臺中市,73,普通,135.3,24.09961111,120.6784444,懸浮微粒,22,47,16,14,0.9,0.35,0.8,74,2026/2/24 23:00
忠明,臺中市,67,普通,133.28,24.151958,120.641092,細懸浮微粒,21,39,21,11,1.1,0.28,1.3,341,2026/2/24 23:00
西屯,臺中市,68,普通,134.08,24.162197,120.616917,懸浮微粒,17,43,27,8,0.8,0.22,2.3,0,2026/2/24 23:00
彰化,彰化縣,71,普通,147.14,24.066,120.541519,細懸浮微粒,15,36,27,10,0.3,0.24,2,28,2026/2/24 23:00
線西,彰化縣,85,普通,146.98,24.131672,120.469061,細懸浮微粒,23,24,34,4,0.6,0.17,3.2,28,2026/2/24 23:00
二林,彰化縣,92,普通,167.75,23.925175,120.409653,懸浮微粒,17,56,30,4,0.7,0.22,2.6,34,2026/2/24 23:00
南投,南投縣,74,普通,151.68,23.913,120.685306,細懸浮微粒,21,46,8,15,0.1,0.32,0.2,168,2026/2/24 23:00
斗六,雲林縣,91,普通,178.21,23.711853,120.544994,細懸浮微粒,27,63,12,16,0.6,0.32,1.5,2,2026/2/24 23:00
崙背,雲林縣,87,普通,185.95,23.757547,120.348742,懸浮微粒,20,45,23,7,1.7,0.26,1.4,38,2026/2/24 23:00
新港,嘉義縣,94,普通,204.09,23.554839,120.345531,懸浮微粒,22,55,14,11,0.9,0.27,1.9,344,2026/2/24 23:00
朴子,嘉義縣,90,普通,217.98,23.46538,120.2478,懸浮微粒,21,57,15,14,1.6,0.33,0.9,349,2026/2/24 23:00
臺西,雲林縣,71,普通,200.49,23.702175,120.1993333,懸浮微粒,15,39,34,3,1,0.17,4.6,23,2026/2/24 23:00
嘉義,嘉義市,96,普通,207.07,23.46477865,120.4412515,懸浮微粒,29,72,12,15,1.5,0.37,2.6,11,2026/2/24 23:00
新營,臺南市,99,普通,228.77,23.305633,120.31725,懸浮微粒,23,74,12,18,1.3,0.32,1.7,5,2026/2/24 23:00
