避難收容處所名稱,地址,縣市及鄉鎮市區,所在鄉鎮,經度,緯度,預計收容人數,室內設施,最近AQI測站,最近AQI值,距離測站(km),風險等級
五峰活動中心,,新竹縣,苗栗縣泰安鄉,121.073,24.386,110,True,三義,35.0,31.75,Low Risk
金門縣烈嶼鄉林湖村辦公處,東林24號,金門縣烈嶼鄉,金門縣烈嶼鄉,118.248571,24.428328,30,True,金門,48.0,6.46,Low Risk
南坑村集會所暨南外社區活動中心,9鄰大南坑1-5號,新竹縣北埔鄉,新竹縣北埔鄉,121.0561,24.6725,20,True,竹東,49.0,8.3,Low Risk
烏坵鄉小坵村活動中心,無門牌號碼,金門縣烏坵鄉,金門縣烏坵鄉,119.47,24.98,20,True,金門,48.0,131.87,Low Risk
金門縣烏坵鄉公所大廳,1號,金門縣烏坵鄉,金門縣烏坵鄉,119.453178,24.988739,30,True,金門,48.0,130.81,Low Risk
霞雲社區活動中心,6鄰22-1號,桃園市復興區,桃園市復興區,121.406238,24.814018,36,True,新北（樹林）,55.0,15.19,Low Risk
澤仁里辦公處,14鄰中正路168之1號,桃園市復興區,桃園市復興區,121.351987,24.820601,40,True,龍潭,92.0,14.5,Low Risk
奎輝里活動中心,3鄰羅馬路3段355號,桃園市復興區,桃園市復興區,121.334302,24.797047,50,True,龍潭,92.0,14.03,Low Risk
高義教會,6鄰48號,桃園市復興區,桃園市復興區,121.354462,24.706112,61,True,龍潭,92.0,22.41,Low Risk
東莒老人活動中心,57-1號,連江縣莒光鄉,連江縣莒光鄉,119.977206,25.956666,0,True,馬祖,32.0,22.05,Low Risk
莒光指揮部國軍文康中心,莒光指揮部國軍文康中心,連江縣莒光鄉,連江縣莒光鄉,119.932125,25.97828,0,True,馬祖,32.0,19.62,Low Risk
青帆老人活動中心,1號,連江縣莒光鄉,連江縣莒光鄉,119.933712,25.969995,150,True,馬祖,32.0,20.52,Low Risk
敬恆國中小禮堂,18號,連江縣莒光鄉,連江縣莒光鄉,119.933934,25.970819,200,True,馬祖,32.0,20.43,Low Risk
東莒國小綜合教室,4號,連江縣莒光鄉,連江縣莒光鄉,119.97711,25.957484,200,True,馬祖,32.0,21.96,Low Risk
上大社區活動中心,8鄰大湖路一段510號,桃園市觀音區,桃園市觀音區,121.147333,24.978234,0,True,平鎮,72.0,6.37,Low Risk
武威社區活動中心,4鄰武威一路10號,桃園市觀音區,桃園市觀音區,121.073317,25.028242,0,True,觀音,45.0,1.26,Low Risk
塔腳社區活動中心,4鄰塔腳路116號,桃園市觀音區,桃園市觀音區,121.154708,25.049298,0,True,大園,58.0,4.99,Low Risk
廣福社區活動中心,福山路二段403巷6號,桃園市觀音區,桃園市觀音區,121.153383,25.019018,0,True,大園,58.0,6.8,Low Risk
草漯國民小學,新生路1462號,桃園市觀音區,桃園市觀音區,121.142939,25.045941,100,True,觀音,45.0,6.16,Low Risk
上大國民小學,8鄰大湖路一段540號,桃園市觀音區,桃園市觀音區,121.146755,24.979129,100,True,平鎮,72.0,6.47,Low Risk
崙坪國民小學,崙坪里297之1號,桃園市觀音區,桃園市觀音區,121.162676,24.999596,100,True,平鎮,72.0,6.67,Low Risk
富林國民小學,大觀路三段466號,桃園市觀音區,桃園市觀音區,121.1285,25.062195,100,True,觀音,45.0,5.47,Low Risk
樹林國民小學,觀音鄉樹林村新村路二段十二號,桃園市觀音區,桃園市觀音區,121.128468,25.062176,100,True,觀音,45.0,5.47,Low Risk
觀音區公所綠資源中心,觀新路56號,桃園市觀音區,桃園市觀音區,121.083597,25.028281,0,True,觀音,45.0,0.81,Low Risk
高雄市前鎮區光華國民小學,廣西路57號,高雄市前鎮區,高雄市前鎮區,120.32,22.615,300,True,復興,108.0,1.08,High Risk
大武國小,民族街2巷49號,臺東縣大武鄉,臺東縣大武鄉,120.905497,22.365009,350,True,屏東（枋山）,70.0,28.58,Low Risk
尖山國小操場,尖豐路305號,苗栗縣頭份市,苗栗縣頭份市,120.894048,24.64686,200,True,頭份,62.0,5.58,Low Risk
高雄市小港區鳳林國民小學,鳳林路207號,高雄市小港區,高雄市小港區,120.343,22.527,300,True,小港,105.0,4.35,High Risk
大武社區活動中心,2鄰小山巷7號,屏東縣霧臺鄉,屏東縣霧臺鄉,120.754782,22.757534,30,True,美濃,83.0,26.92,Low Risk
和平國小,和平112號,花蓮縣秀林鄉,花蓮縣秀林鄉,121.748879,24.308073,250,True,冬山,46.0,36.32,Low Risk
佳義社區活動中心,泰平巷11號,屏東縣瑪家鄉,屏東縣內埔鄉,120.630874,22.653475,0,True,屏東,109.0,14.82,High Risk
中東社區活動中心,山腳路五段185巷20號,彰化縣員林市,彰化縣員林市,120.599689,23.971414,30,True,員林,65.0,3.87,Low Risk
崇實高工體育館,育英路103號,彰化縣員林市,彰化縣員林市,120.574848,23.961057,80,True,員林,65.0,1.19,Low Risk
東芳國小,彰馬路45號,彰化縣彰化市,彰化縣彰化市,120.516345,24.062538,145,True,彰化,65.0,2.58,Low Risk
三義社區活動中心,員鹿路245巷112號,彰化縣員林市,彰化縣員林市,120.563531,23.95268,200,True,員林,65.0,0.99,Low Risk
大同國中,大同路一段345號,彰化縣員林市,彰化縣員林市,120.579502,23.963213,200,True,員林,65.0,1.67,Low Risk
員林農工體育館,員水路二段313號,彰化縣員林市,彰化縣員林市,120.581692,23.955187,200,True,員林,65.0,2.01,Low Risk
員林市員東國小,員東路二段12號,彰化縣員林市,彰化縣員林市,120.587309,23.961879,200,True,員林,65.0,2.45,Low Risk
員林市員林國中活動中心,南潭路2號,彰化縣員林市,彰化縣員林市,120.557085,23.979184,200,True,員林,65.0,2.05,Low Risk
員林市員林國小,三民東街221號,彰化縣員林市,彰化縣員林市,120.57921,23.960059,300,True,員林,65.0,1.64,Low Risk
健康公園,忠明南路與五權南路交叉口,臺中市南區,臺中市南區,120.667553,24.119757,7500,False,大里,56.0,2.5,Warning
屏東市信義國小,信義路262號,屏東縣屏東市,屏東縣屏東市,120.49197,22.68523,965,True,屏東,109.0,1.41,High Risk
光隆營區,光興路1001號,臺中市太平區,臺中市太平區,120.7305,24.1112,80,True,大里,56.0,5.44,Low Risk
大快官藝文館,彰南路五段8號,彰化縣彰化市,彰化縣彰化市,120.613159,24.068651,45,True,彰化,65.0,7.28,Low Risk
彰德國中勤學樓、育英樓穿堂,彰南路二段512巷97號,彰化縣彰化市,彰化縣彰化市,120.589342,24.08054,45,True,彰化,65.0,5.12,Low Risk
介壽社區活動中心,介壽新村21號,彰化縣彰化市,彰化縣彰化市,120.551727,24.070873,45,True,彰化,65.0,1.17,Low Risk
國聖國小,中山路三段608號,彰化縣彰化市,彰化縣彰化市,120.568089,24.092292,54,True,彰化,65.0,3.98,Low Risk
石牌國小,田坑路一段9號,彰化縣彰化市,彰化縣彰化市,120.614942,24.058558,63,True,彰化,65.0,7.5,Low Risk
茄苳社區活動中心,茄苳路二段292號,彰化縣彰化市,彰化縣彰化市,120.547944,24.10378,64,True,彰化,65.0,4.25,Low Risk
三民國小,田中路125號,彰化縣彰化市,彰化縣彰化市,120.604547,24.085743,77,True,彰化,65.0,6.76,Low Risk
南北管戲曲音樂館,平和七街66號,彰化縣彰化市,彰化縣彰化市,120.529851,24.068206,77,True,彰化,65.0,1.21,Low Risk
牛埔社區活動中心,彰南路三段226號,彰化縣彰化市,彰化縣彰化市,120.597531,24.081368,78,True,彰化,65.0,5.94,Low Risk
桃源社區活動中心,公園路二段102之1號,彰化縣彰化市,彰化縣彰化市,120.559047,24.072547,90,True,彰化,65.0,1.92,Low Risk
南興社區活動中心,中山路一段189巷49號,彰化縣彰化市,彰化縣彰化市,120.533189,24.056604,93,True,彰化,65.0,1.34,Low Risk
快官社區活動中心,彰南路四段566號之1,彰化縣彰化市,彰化縣彰化市,120.612013,24.068422,115,True,彰化,65.0,7.16,Low Risk
福山社區活動中心,福山街168號,彰化縣彰化市,彰化縣彰化市,120.571394,24.082668,177,True,彰化,65.0,3.55,Low Risk
延和社區活動中心,埔西街111號,彰化縣彰化市,彰化縣彰化市,120.538252,24.059306,184,True,彰化,65.0,0.81,Low Risk
泰和國小,泰和路二段145巷1號,彰化縣彰化市,彰化縣彰化市,120.55168,24.092496,203,True,彰化,65.0,3.12,Low Risk
彰興國中,埔西街107號,彰化縣彰化市,彰化縣彰化市,120.538251,24.059274,242,True,彰化,65.0,0.82,Low Risk
信義國中小,向陽街168號,彰化縣彰化市,彰化縣彰化市,120.52814,24.062723,399,True,彰化,65.0,1.41,Low Risk
雅溝社區活動中心,南軒路359巷7號,彰化縣和美鎮,彰化縣和美鎮,120.492521,24.099707,150,True,線西,64.0,4.28,Low Risk
港口社區活動中心,港口路42號,屏東縣滿州鄉,屏東縣滿州鄉,120.8271,21.9912,50,True,恆春,39.0,5.39,Low Risk
恆春國中收容所,文化路79號,屏東縣恆春鎮,屏東縣恆春鎮,120.7475,22.0031,1400,True,恆春,39.0,6.58,Low Risk
恆春鎮公所,天文路1號,屏東縣恆春鎮,屏東縣恆春鎮,120.7474,22.0038,220,True,恆春,39.0,6.65,Low Risk
永靖社區活動中心,庄內路33巷8-1號,屏東縣滿州鄉,屏東縣滿州鄉,120.8092,22.0052,30,True,恆春,39.0,5.64,Low Risk
